flag,gemini-3-pro-preview-maxthinking-gcli.csv,glm-4.6.csv,gemini-2.5-pro-maxthinking-gcli.csv,kimi-k2-thinking.csv,doubao.csv,merged_comparison.csv,qwen3-max.csv,deepseek-reasoner.csv,same?,final_category
--trace-wasm-offheap-memory,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-revectorize,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-serialization,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-simd-shuffle,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-stack-switching,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-streaming,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-wasm-typer,Wasm,Wasm,Wasm,Wasm,Trace/Debug,Wasm,,Trace/Debug,no,"Wasm, Wasm, Wasm, Wasm, Trace/Debug, Wasm, , Trace/Debug"
--trace-zone-stats,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--trace-zone-type-stats,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Trace/Debug,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Trace/Debug, GC/Memory, , Trace/Debug"
--track-detached-contexts,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--track-field-types,Data,Optimization,Optimization,Data,Optimization,Data,,Data,no,"Data, Optimization, Optimization, Data, Optimization, Data, , Data"
--track-gc-object-stats,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--transition-strings-during-gc-with-stack,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--trap-on-abort,Trace/Debug,Trace/Debug,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Trace/Debug, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--turbo-allocation-folding,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-cf-optimization,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-compress-frame-translations,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-elide-frames,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-escape,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-fast-api-calls,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-filter,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-inline-array-builtins,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-inline-js-wasm-calls,Turbofan,Wasm,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,no,"Turbofan, Wasm, Turbofan, Turbofan, Turbofan, Turbofan, , Turbofan"
--turbo-inlining,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-instruction-scheduling,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-jt,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-load-elimination,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-log-builtins-count-input,Turbofan,Compiler/Tier Manager,,Turbofan,Data,Turbofan,,Generic,no,"Turbofan, Compiler/Tier Manager, , Turbofan, Data, Turbofan, , Generic"
--turbo-loop-peeling,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-loop-rotation,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-loop-variable,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-move-optimization,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-optimize-apply,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-optimize-inlined-js-wasm-wrappers,Turbofan,Wasm,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,no,"Turbofan, Wasm, Turbofan, Turbofan, Turbofan, Turbofan, , Turbofan"
--turbo-optimize-math-minmax,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-profiling,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-profiling-input,Turbofan,Compiler/Tier Manager,,Turbofan,Data,Turbofan,,Generic,no,"Turbofan, Compiler/Tier Manager, , Turbofan, Data, Turbofan, , Generic"
--turbo-profiling-output,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-profiling-verbose,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-rewrite-far-jumps,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-splitting,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-stats,Turbofan,Turbofan,Print,Turbofan,Print,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Print, Turbofan, Print, Turbofan, , Turbofan"
--turbo-stats-nvp,Turbofan,Turbofan,Print,Turbofan,Print,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Print, Turbofan, Print, Turbofan, , Turbofan"
--turbo-stats-wasm,Turbofan,Turbofan,Wasm,Turbofan,Print,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Wasm, Turbofan, Print, Turbofan, , Turbofan"
--turbo-store-elimination,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-stress-instruction-scheduling,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Turbofan,,Testing/Fuzzing,no,"Turbofan, Testing/Fuzzing, Testing/Fuzzing, Turbofan, Testing/Fuzzing, Turbofan, , Testing/Fuzzing"
--turbo-string-builder,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-typer-hardening,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbo-verify,Turbofan,Turbofan,Turbofan,Turbofan,Testing/Fuzzing,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Testing/Fuzzing, Turbofan, , Turbofan"
--turbo-verify-allocation,Turbofan,Turbofan,Turbofan,Turbofan,Testing/Fuzzing,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Testing/Fuzzing, Turbofan, , Turbofan"
--turbo-verify-machine-graph,Turbofan,Turbofan,Turbofan,Turbofan,Testing/Fuzzing,Turbofan,,Turbofan,no,"Turbofan, Turbofan, Turbofan, Turbofan, Testing/Fuzzing, Turbofan, , Turbofan"
--turbo-wasm-address-reassociation,Turbofan,Wasm,Wasm,Turbofan,Turbofan,Turbofan,,Wasm,no,"Turbofan, Wasm, Wasm, Turbofan, Turbofan, Turbofan, , Wasm"
--turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbofan-inline-date-accessors,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,Turbofan,,Turbofan,yes,Turbofan
--turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,yes,Turbolev
--turbolev-additive-safe-int-feedback,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,yes,Turbolev
--turbolev-future,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,yes,Turbolev
--turbolev-inline-js-wasm-wrappers,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,yes,Turbolev
--turbolev-non-eager-inlining,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,Turbolev,,Turbolev,yes,Turbolev
--turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,yes,Turboshaft
--turboshaft-assert-types,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,,Turboshaft,no,"Turboshaft, Turboshaft, Turboshaft, Turboshaft, Testing/Fuzzing, Turboshaft, , Turboshaft"
--turboshaft-enable-debug-features,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,yes,Turboshaft
--turboshaft-load-elimination,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,yes,Turboshaft
--turboshaft-loop-unrolling,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,yes,Turboshaft
--turboshaft-opt-bisect-break,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,,Turboshaft,no,"Turboshaft, Turboshaft, Turboshaft, Turboshaft, Testing/Fuzzing, Turboshaft, , Turboshaft"
--turboshaft-opt-bisect-limit,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,,Turboshaft,no,"Turboshaft, Turboshaft, Turboshaft, Turboshaft, Testing/Fuzzing, Turboshaft, , Turboshaft"
--turboshaft-string-concat-escape-analysis,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,yes,Turboshaft
--turboshaft-trace-emitted,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-if-else-to-switch,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-intermediate-reductions,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-load-elimination,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-peeling,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-reduction,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-typing,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-trace-unrolling,Turboshaft,Turboshaft,Trace/Debug,Turboshaft,Trace/Debug,Turboshaft,,Trace/Debug,no,"Turboshaft, Turboshaft, Trace/Debug, Turboshaft, Trace/Debug, Turboshaft, , Trace/Debug"
--turboshaft-typed-optimizations,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,yes,Turboshaft
--turboshaft-verify-load-elimination,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,,Turboshaft,no,"Turboshaft, Turboshaft, Turboshaft, Turboshaft, Testing/Fuzzing, Turboshaft, , Turboshaft"
--turboshaft-verify-reductions,Turboshaft,Turboshaft,Turboshaft,Turboshaft,Testing/Fuzzing,Turboshaft,,Turboshaft,no,"Turboshaft, Turboshaft, Turboshaft, Turboshaft, Testing/Fuzzing, Turboshaft, , Turboshaft"
--turboshaft-wasm-in-js-inlining,Turboshaft,Wasm,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,no,"Turboshaft, Wasm, Turboshaft, Turboshaft, Turboshaft, Turboshaft, , Turboshaft"
--turboshaft-wasm-load-elimination,Turboshaft,Wasm,Turboshaft,Turboshaft,Turboshaft,Turboshaft,,Turboshaft,no,"Turboshaft, Wasm, Turboshaft, Turboshaft, Turboshaft, Turboshaft, , Turboshaft"
--typed-array-length-loading,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--unbox-double-arrays,Data,Data,Data,Data,Data,Data,,Data,yes,Data
--unmap-holes,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--use-external-strings,Data,Data,Data,Data,Data,Data,,Data,yes,Data
--use-ic,Optimization,Optimization,Optimization,Optimization,Optimization,Optimization,,Optimization,yes,Optimization
--use-libm-trig-functions,Generic,Optimization,Optimization,Generic,Optimization,Generic,,Optimization,no,"Generic, Optimization, Optimization, Generic, Optimization, Generic, , Optimization"
--use-marking-progress-bar,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--use-original-message-for-stack-trace,Trace/Debug,Generic,Trace/Debug,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Generic, Trace/Debug, Trace/Debug, Debug, Trace/Debug, , Generic"
--use-osr,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,yes,Compiler/Tier Manager
--use-std-math-pow,Generic,Optimization,Optimization,Generic,Data,Generic,,Optimization,no,"Generic, Optimization, Optimization, Generic, Data, Generic, , Optimization"
--use-strict,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,Language mode/features,,Language mode/features,yes,Language mode/features
--v8-os-page-size,Generic,Generic,GC/Memory,Generic,Data,Generic,,GC/Memory,no,"Generic, Generic, GC/Memory, Generic, Data, Generic, , GC/Memory"
--validate-asm,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--verify-code-merge,Testing/Fuzzing,Compiler/Tier Manager,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Ignition,no,"Testing/Fuzzing, Compiler/Tier Manager, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Ignition"
--verify-csa,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Turbofan,no,"Testing/Fuzzing, Turbofan, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Turbofan"
--verify-get-js-builtin-state,Testing/Fuzzing,Trace/Debug,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Turbofan,no,"Testing/Fuzzing, Trace/Debug, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Turbofan"
--verify-heap,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--verify-heap-skip-remembered-set,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--verify-predictable,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Testing/Fuzzing,yes,Testing/Fuzzing
--verify-simplified-lowering,Testing/Fuzzing,Turbofan,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Trace/Debug,no,"Testing/Fuzzing, Turbofan, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Trace/Debug"
--verify-snapshot-checksum,Testing/Fuzzing,Compiler/Tier Manager,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,Testing/Fuzzing,,Generic,no,"Testing/Fuzzing, Compiler/Tier Manager, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, Testing/Fuzzing, , Generic"
--verify-write-barriers,GC/Memory,GC/Memory,Testing/Fuzzing,GC/Memory,Testing/Fuzzing,GC/Memory,,GC/Memory,no,"GC/Memory, GC/Memory, Testing/Fuzzing, GC/Memory, Testing/Fuzzing, GC/Memory, , GC/Memory"
--vtune-prof-annotate-wasm,Trace/Debug,Print,Wasm,Trace/Debug,Debug,Trace/Debug,,Generic,no,"Trace/Debug, Print, Wasm, Trace/Debug, Debug, Trace/Debug, , Generic"
--warn-about-builtin-profile-data,Compiler/Tier Manager,Compiler/Tier Manager,,Compiler/Tier Manager,Testing/Fuzzing,Compiler/Tier Manager,,Turbofan,no,"Compiler/Tier Manager, Compiler/Tier Manager, , Compiler/Tier Manager, Testing/Fuzzing, Compiler/Tier Manager, , Turbofan"
--wasm-allow-mixed-eh-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--wasm-assert-types,Wasm,Wasm,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Wasm, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--wasm-async-compilation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-bounds-checks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-bulkmem-inlining,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-caching-hard-threshold,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-caching-threshold,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-caching-timeout-ms,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-capi-thread-pool-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-code-coverage,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-code-gc,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-debug-mask-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--wasm-deopt,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-deopts-per-function-limit,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-disassembly-max-mb,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-dynamic-tiering,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-eager-tier-up-function,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-enforce-bounds-checks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-fast-api,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-fuzzer-gen-test,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Testing/Fuzzing,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Testing/Fuzzing"
--wasm-generic-wrapper,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-inlining,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-inlining-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-inlining-call-indirect,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-inlining-factor,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-inlining-ignore-call-counts,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--wasm-inlining-max-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-inlining-min-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-jitless,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-jitless-if-available-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--wasm-lazy-compilation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-lazy-validation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-loop-peeling,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-loop-peeling-max-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-loop-unrolling,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-math-intrinsics,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-max-code-space-size-mb,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-max-committed-code-mb,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-max-initial-code-space-reservation,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-max-mem-pages,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-max-module-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-max-table-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-memory64-trap-handling,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-native-module-cache,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-num-compilation-tasks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-opt,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-simd-ssse3-codegen,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-stack-checks,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-stack-switching-stack-size,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-staging,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-sync-tier-up,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-test-streaming,Wasm,Testing/Fuzzing,Wasm,Wasm,Wasm,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Wasm, Wasm, , Wasm"
--wasm-tier-mask-for-testing,Wasm,Testing/Fuzzing,Wasm,Wasm,Testing/Fuzzing,Wasm,,Wasm,no,"Wasm, Testing/Fuzzing, Wasm, Wasm, Testing/Fuzzing, Wasm, , Wasm"
--wasm-tier-up,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-tier-up-filter,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-tiering-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-trace-native,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--wasm-wrapper-tiering-budget,Wasm,Wasm,Wasm,Wasm,Wasm,Wasm,,Wasm,yes,Wasm
--win64-unwinding-info,Trace/Debug,Print,Trace/Debug,Trace/Debug,Data,Trace/Debug,,Generic,no,"Trace/Debug, Print, Trace/Debug, Trace/Debug, Data, Trace/Debug, , Generic"
--zero-unused-memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,GC/Memory,,GC/Memory,yes,GC/Memory
--zone-stats-tolerance,GC/Memory,GC/Memory,Trace/Debug,GC/Memory,Data,GC/Memory,,Trace/Debug,no,"GC/Memory, GC/Memory, Trace/Debug, GC/Memory, Data, GC/Memory, , Trace/Debug"
abort-on-bad-builtin-profile-data,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
abort-on-contradictory-flags,,,,,,,Generic,,yes,Generic
abort-on-far-code-range,,,,,,,Compiler/Tier Manager,,yes,Compiler/Tier Manager
abort-on-uncaught-exception,,,,,,,Trace/Debug,,yes,Trace/Debug
additive-safe-int-feedback,,,,,,,Optimization,,yes,Optimization
adjust-os-scheduling-parameters,,,,,,,Generic,,yes,Generic
allocation-buffer-parking,,,,,,,GC/Memory,,yes,GC/Memory
allocation-site-pretenuring,,,,,,,GC/Memory,,yes,GC/Memory
allocation-site-tracking,,,,,,,GC/Memory,,yes,GC/Memory
allow-natives-for-differential-fuzzing,,,,,,,Testing/Fuzzing,,yes,Testing/Fuzzing
